publishingorgkey	publishername	publisherurl	total_records	records_with_recordedbyid	pct_with_recordedbyid	records_with_valid_recordedbyid	pct_valid_recordedbyid	records_with_invalid_recordedbyid	pct_invalid_recordedbyid	records_with_orcid	pct_with_orcid	records_with_google_scholar	pct_with_google_scholar	records_with_researcherid	pct_with_researcherid	records_with_wikidata	pct_with_wikidata	records_with_linkedin	pct_with_linkedin
23bc36c2-05d0-4643-88fa-d5f5a8b0f669	Andean Nature SAS	https://www.gbif.org/publisher/23bc36c2-05d0-4643-88fa-d5f5a8b0f669	217	217	100.00000000000000	217	100.00000000000000	0	0.00000000000000	217	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
3d93c436-a9f7-4521-9ea4-a038b224b434	Dirección General Marítima	https://www.gbif.org/publisher/3d93c436-a9f7-4521-9ea4-a038b224b434	21953	21953	100.00000000000000	21953	100.00000000000000	0	0.00000000000000	21953	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
51ed3ea0-fdd0-4eac-ad88-226192a6491b	Centro de Estudios Biológicos y Sociales de Guatemala	https://www.gbif.org/publisher/51ed3ea0-fdd0-4eac-ad88-226192a6491b	709	709	100.00000000000000	709	100.00000000000000	0	0.00000000000000	709	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
c77cfd9f-e4ce-40ad-bea7-e53437d5c178	KKHA ARTS SMGL COMMERCE SPHJ SCIENCE COLLEGE CHANDWAD DIST NASHIK	https://www.gbif.org/publisher/c77cfd9f-e4ce-40ad-bea7-e53437d5c178	74	74	100.00000000000000	74	100.00000000000000	0	0.00000000000000	74	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
4189e371-1194-4c5d-9073-093ab88897ac	HOCOL S.A.	https://www.gbif.org/publisher/4189e371-1194-4c5d-9073-093ab88897ac	8998	8998	100.00000000000000	709	7.87952878417426	8289	92.12047121582574	709	7.87952878417426	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
b5359826-e387-4f48-936c-7d5fd7dc17b6	ACESCO Colombia SAS	https://www.gbif.org/publisher/b5359826-e387-4f48-936c-7d5fd7dc17b6	662	662	100.00000000000000	662	100.00000000000000	0	0.00000000000000	662	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
c2c0c6e2-d44d-469a-9ec7-d5188b0fd0f5	Instituto de Recursos Naturales y Ordenación del Territorio (INDUROT)	https://www.gbif.org/publisher/c2c0c6e2-d44d-469a-9ec7-d5188b0fd0f5	381	381	100.00000000000000	381	100.00000000000000	0	0.00000000000000	381	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
edb4b7ac-479e-4f94-b161-24e5ef0b0dba	CasaLuker S.A.	https://www.gbif.org/publisher/edb4b7ac-479e-4f94-b161-24e5ef0b0dba	344	344	100.00000000000000	344	100.00000000000000	0	0.00000000000000	344	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
1a2bfe99-b7ca-4e3c-a5a2-18c85789e7d1	Drummond LTD	https://www.gbif.org/publisher/1a2bfe99-b7ca-4e3c-a5a2-18c85789e7d1	28464	28464	100.00000000000000	28464	100.00000000000000	0	0.00000000000000	28464	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
e0b6628a-97c6-4f24-aac4-e20adb43160a	Fundación Grupo Argos	https://www.gbif.org/publisher/e0b6628a-97c6-4f24-aac4-e20adb43160a	5681	5681	100.00000000000000	4437	78.10244675233234	1244	21.89755324766766	4437	78.10244675233234	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
6af3926e-4d74-4e5e-9a36-1f503a475f9a	Fundación Ambiental DapaViva	https://www.gbif.org/publisher/6af3926e-4d74-4e5e-9a36-1f503a475f9a	1764	1764	100.00000000000000	1450	82.19954648526077	314	17.80045351473923	1450	82.19954648526077	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
21bad799-ed1e-46d5-a050-1412369c3f5e	Fundación Cuidar la Tierra	https://www.gbif.org/publisher/21bad799-ed1e-46d5-a050-1412369c3f5e	1036	1036	100.00000000000000	1036	100.00000000000000	0	0.00000000000000	1036	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
b035747d-16a4-46e1-b599-599d43e1acc9	Programa BIOTA/FAPESP - The Virtual Institute of Biodiversity	https://www.gbif.org/publisher/b035747d-16a4-46e1-b599-599d43e1acc9	136386	136386	100.00000000000000	0	0.00000000000000	136386	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
ba5ba53b-11a6-4445-a7e1-7a77494e93fa	Fundación Alium Pacific	https://www.gbif.org/publisher/ba5ba53b-11a6-4445-a7e1-7a77494e93fa	51	51	100.00000000000000	51	100.00000000000000	0	0.00000000000000	51	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
5fb77211-f225-4c9d-89a0-df5998459513	Black Sea Biosphere Reserve of National Academy of Sciences of Ukraine	https://www.gbif.org/publisher/5fb77211-f225-4c9d-89a0-df5998459513	9006	9006	100.00000000000000	9006	100.00000000000000	0	0.00000000000000	9006	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
0e52cbc0-9669-4712-a48b-30e31a442acb	Comisión Colombiana del Océano	https://www.gbif.org/publisher/0e52cbc0-9669-4712-a48b-30e31a442acb	153	153	100.00000000000000	153	100.00000000000000	0	0.00000000000000	153	100.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000	0	0.00000000000000
